category,vendor,description,amount
Food & Dining,Pizza Hut,delivery dinner takeout,996.3
Entertainment,Netflix,entertainment,45.57
Shopping,Nike,purchase accessories,136.61
Food & Dining,Chipotle,restaurant meal,535.83
Food & Dining,Local Restaurant,delivery lunch,855.25
Groceries,Trader Joes,bread meat,130.94
Shopping,Target,clothes electronics,39.73
Bills & Utilities,Electric Company,payment,669.01
Transportation,Metro,taxi fuel,11.2
Food & Dining,Chipotle,takeout dinner lunch,77.47
Transportation,Metro,transportation transit,44.63
Healthcare,Local Clinic,health medicine medical,127.03
Transportation,BP,transit transportation fuel,77.53
Shopping,Target,electronics shoes,40.67
Bills & Utilities,Verizon,utility bill service,192.23
Entertainment,Spotify,movie streaming entertainment #3301,11.13
Food & Dining,McDonalds,restaurant dinner,899.31
Transportation,Lyft,transportation,22.88
Groceries,Trader Joes,meat bread dairy,152.31
Food & Dining,Pizza Hut,meal lunch #3222,559.26
Others,Various Services,misc #6097,931.45
Groceries,Trader Joes,dairy,82.4
Groceries,Safeway,groceries,186.92
Others,Various Services,other service payment,53.36
Food & Dining,McDonalds,restaurant meal lunch,263.47
Entertainment,Xbox,streaming game entertainment,36.98
Entertainment,Xbox,entertainment movie music,17.52
Shopping,Amazon,purchase accessories,161.25
Food & Dining,Local Restaurant,takeout,914.12
Food & Dining,Pizza Hut,takeout dinner #6537,810.37
Food & Dining,Chipotle,meal restaurant takeout,622.97
Others,Unknown Vendor,misc payment,616.26
Shopping,Nike,purchase accessories clothes,16.35
Food & Dining,McDonalds,meal restaurant lunch,628.38
Others,Unknown Vendor,payment other service,991.2
Groceries,Walmart,dairy produce,37.1
Entertainment,Steam,streaming movie entertainment,32.27
Food & Dining,Local Restaurant,restaurant takeout dinner,803.45
Shopping,Target,clothes accessories purchase,281.65
Food & Dining,Subway,delivery,398.67
Healthcare,Local Clinic,medical,197.88
Bills & Utilities,Water Service,payment service monthly,663.64
Groceries,Kroger,produce bread,170.4
Shopping,Target,electronics purchase #9345,258.74
Shopping,Amazon,accessories,80.22
Healthcare,CVS,medicine health,246.75
Healthcare,Local Clinic,doctor health medicine,130.26
Transportation,Shell,gas #6732,44.73
Shopping,Nike,shoes clothes,173.69
Bills & Utilities,Water Service,bill payment,708.44
Entertainment,Netflix,streaming music game,22.45
Groceries,Safeway,bread groceries #5107,52.71
Shopping,H&M,accessories,261.25
Shopping,Amazon,shoes purchase #1475,78.21
Others,Various Services,payment,843.73
Entertainment,Netflix,entertainment movie game,29.08
Groceries,Safeway,dairy produce bread,36.68
Healthcare,Local Clinic,medical #7971,337.49
Groceries,Walmart,meat #7837,164.1
Bills & Utilities,Verizon,payment,874.34
Healthcare,Walgreens,medical,27.38
Groceries,Safeway,produce groceries food,161.07
Transportation,Metro,taxi gas transportation,19.32
Shopping,Amazon,clothes purchase electronics #1149,52.79
Healthcare,Walgreens,health,314.43
Transportation,Lyft,fuel,6.44
Transportation,BP,taxi,72.22
Shopping,Nike,electronics clothes #2814,57.44
Transportation,Metro,transportation gas,30.48
Bills & Utilities,AT&T,payment service bill #3988,410.36
Bills & Utilities,Verizon,payment service,686.49
Entertainment,AMC Theaters,streaming movie #8697,19.78
Groceries,Walmart,meat #1425,168.32
Shopping,H&M,shoes electronics,33.38
Food & Dining,Local Restaurant,delivery,507.62
Healthcare,CVS,health prescription #1296,117.02
Shopping,H&M,accessories #9523,48.6
Food & Dining,McDonalds,takeout dinner #4129,924.11
Others,Miscellaneous,service other,487.22
Shopping,H&M,accessories clothes electronics,47.42
Groceries,Walmart,bread produce food #3790,118.57
Transportation,Uber,fuel,35.36
Groceries,Whole Foods,produce bread groceries,156.08
Shopping,Amazon,electronics accessories shoes #8395,225.6
Entertainment,AMC Theaters,movie music,16.86
Transportation,Lyft,transportation gas #3018,51.51
Transportation,Metro,ride gas #2548,20.98
Bills & Utilities,Water Service,utility,195.68
Bills & Utilities,Verizon,utility payment service #8641,297.4
Transportation,Metro,transit taxi gas,41.87
Transportation,Uber,gas transit #3203,64.49
Shopping,Amazon,clothes shoes #2895,163.1
Transportation,Shell,transportation gas #9115,69.59
Shopping,Target,shoes,218.24
Transportation,Metro,transit ride fuel #2609,33.43
Entertainment,Netflix,game entertainment movie,38.99
Healthcare,Walgreens,medical #6722,105.84
Groceries,Whole Foods,bread,23.09
Food & Dining,Local Restaurant,dinner meal delivery,76.58
Others,Unknown Vendor,other general misc #5171,613.61
Entertainment,Steam,streaming,20.8
Healthcare,CVS,doctor health,344.03
Food & Dining,Subway,dinner lunch,981.05
Groceries,Safeway,groceries meat dairy,180.27
Others,Various Services,general payment,954.19
Bills & Utilities,Verizon,service,41.28
Groceries,Trader Joes,food,184.7
Entertainment,AMC Theaters,game music entertainment,39.08
Healthcare,Local Clinic,prescription,135.05
Entertainment,Steam,game music,12.48
Others,Miscellaneous,service misc #8724,34.52
Others,Miscellaneous,general,327.22
Others,Unknown Vendor,other misc service,869.03
Entertainment,Spotify,game music entertainment #5578,25.45
Others,Unknown Vendor,payment service,913.2
Others,Unknown Vendor,other,73.55
Food & Dining,Pizza Hut,delivery,39.28
Shopping,H&M,electronics,72.85
Bills & Utilities,AT&T,monthly utility,338.59
Bills & Utilities,Verizon,bill monthly service,785.85
Bills & Utilities,Verizon,payment,817.3
Bills & Utilities,AT&T,payment #8946,803.25
Others,Miscellaneous,payment general #2872,953.73
Bills & Utilities,Water Service,monthly #9197,85.25
Bills & Utilities,Water Service,utility,558.42
Bills & Utilities,Verizon,utility service,298.72
Healthcare,Walgreens,medical,272.31
Bills & Utilities,Water Service,monthly utility #5712,661.95
Food & Dining,Pizza Hut,delivery restaurant dinner,13.67
Entertainment,Netflix,movie game #5730,11.39
Groceries,Kroger,produce,42.74
Groceries,Safeway,bread produce #2424,42.62
Transportation,Lyft,fuel ride taxi #1020,24.71
Others,Unknown Vendor,payment other #9838,551.66
Shopping,Target,electronics,84.37
Healthcare,Quest Diagnostics,medicine doctor #2149,239.32
Groceries,Whole Foods,groceries dairy #9947,33.45
Food & Dining,McDonalds,restaurant delivery lunch #2970,455.7
Groceries,Trader Joes,food dairy groceries,107.43
Transportation,Lyft,transit ride,19.93
Others,Miscellaneous,misc,165.94
Others,Miscellaneous,misc general other #9603,27.19
Others,Various Services,misc #4381,883.5
Food & Dining,Chipotle,delivery meal,650.52
Healthcare,Local Clinic,doctor,294.49
Healthcare,Local Clinic,medicine medical,129.25
Others,Miscellaneous,payment service,462.16
Food & Dining,Local Restaurant,dinner takeout lunch #6536,185.06
Shopping,H&M,electronics accessories clothes #6778,246.41
Groceries,Safeway,groceries produce,100.5
Bills & Utilities,Verizon,utility service payment,208.8
Food & Dining,McDonalds,restaurant,749.05
Food & Dining,Subway,restaurant lunch,49.66
Groceries,Kroger,produce bread,115.85
Entertainment,Spotify,music entertainment movie,44.36
Bills & Utilities,Verizon,monthly utility,53.3
Food & Dining,Local Restaurant,meal takeout lunch #1341,775.48
Transportation,Lyft,transit fuel #9379,79.22
Food & Dining,Pizza Hut,takeout meal delivery #3490,492.98
Groceries,Walmart,dairy meat groceries #6483,76.74
Shopping,Target,shoes,197.55
Shopping,Nike,electronics shoes,208.22
Transportation,Shell,fuel gas,73.26
Entertainment,Netflix,entertainment game streaming #2708,12.29
Groceries,Whole Foods,groceries meat produce,143.66
Others,Miscellaneous,misc payment general,481.06
Shopping,Best Buy,accessories shoes electronics,171.0
Groceries,Walmart,food bread dairy,110.01
Shopping,Nike,electronics shoes #7613,22.93
Transportation,Metro,taxi,66.2
Shopping,Target,electronics clothes #8740,102.53
Food & Dining,Subway,delivery meal,517.78
Food & Dining,Local Restaurant,takeout #4906,561.04
Healthcare,Quest Diagnostics,health,298.69
Transportation,Shell,transportation #9783,76.65
Bills & Utilities,Water Service,bill service,711.74
Food & Dining,McDonalds,restaurant dinner lunch #1502,506.75
Entertainment,Xbox,movie entertainment #5838,32.21
Shopping,Amazon,electronics,49.12
Groceries,Walmart,food,152.18
Food & Dining,Chipotle,delivery meal,84.98
Groceries,Kroger,dairy groceries food,104.41
Healthcare,Local Clinic,health,450.01
Food & Dining,McDonalds,delivery restaurant,314.65
Healthcare,CVS,medical,406.15
Others,Various Services,payment,663.93
Groceries,Whole Foods,meat produce dairy,32.45
Others,Unknown Vendor,misc service,155.48
Transportation,BP,taxi ride fuel,35.56
Groceries,Walmart,meat produce dairy #9276,66.06
Groceries,Trader Joes,dairy bread food,126.18
Bills & Utilities,Water Service,monthly service payment,922.03
Transportation,Shell,ride transit transportation,40.68
Healthcare,Walgreens,medicine prescription doctor,70.38
Bills & Utilities,AT&T,bill,826.05
Bills & Utilities,Verizon,service utility,72.05
Others,Unknown Vendor,payment other general,854.98
Groceries,Whole Foods,food,99.86
Food & Dining,Local Restaurant,restaurant delivery meal,226.18
Food & Dining,McDonalds,dinner delivery takeout,925.4
Food & Dining,McDonalds,lunch,746.09
Bills & Utilities,Verizon,monthly payment,803.04
Food & Dining,Local Restaurant,dinner restaurant takeout,721.33
Shopping,Best Buy,purchase electronics,299.32
Shopping,Amazon,purchase #6068,268.28
Bills & Utilities,Verizon,utility monthly payment,545.03
Others,Various Services,misc other payment,504.53
Food & Dining,McDonalds,delivery lunch #3782,822.57
Food & Dining,Subway,takeout dinner meal #7691,491.65
Groceries,Walmart,groceries meat produce,133.22
Entertainment,Steam,movie game #9061,36.48
Entertainment,Spotify,game,34.47
Bills & Utilities,Water Service,monthly bill,145.45
Food & Dining,Local Restaurant,takeout #7480,20.23
Bills & Utilities,Verizon,payment utility monthly,740.99
Shopping,Nike,purchase shoes #3449,253.52
Entertainment,Spotify,entertainment music movie,36.82
Food & Dining,Chipotle,restaurant delivery meal,823.36
Food & Dining,Local Restaurant,restaurant takeout lunch,262.29
Healthcare,Quest Diagnostics,health,424.27
Healthcare,CVS,prescription medical health,438.29
Entertainment,Steam,game,27.08
Entertainment,Steam,music,14.05
Shopping,H&M,electronics,256.08
Others,Various Services,other,187.41
Transportation,Shell,taxi ride,14.02
Others,Various Services,service,207.65
Groceries,Trader Joes,groceries #7214,45.57
Healthcare,Local Clinic,doctor,102.97
Entertainment,Steam,streaming movie game,43.38
Shopping,Nike,electronics #4925,252.58
Bills & Utilities,AT&T,payment utility monthly #8598,338.93
Bills & Utilities,Verizon,monthly,356.01
Entertainment,Steam,streaming #9649,36.73
Healthcare,Walgreens,medicine doctor,25.06
Healthcare,CVS,health doctor,289.8
Others,Unknown Vendor,general #2819,931.61
Food & Dining,Chipotle,dinner,119.17
Healthcare,Walgreens,medicine doctor prescription #8822,413.47
Bills & Utilities,Electric Company,service utility,495.74
Groceries,Whole Foods,dairy bread groceries,111.34
Transportation,BP,ride,33.78
Healthcare,Local Clinic,medicine health,267.02
Bills & Utilities,Verizon,monthly #9795,133.3
Others,Miscellaneous,general misc other,582.83
Shopping,H&M,electronics shoes clothes,165.87
Others,Miscellaneous,service other #3298,163.69
Healthcare,Quest Diagnostics,health prescription medical,414.93
Entertainment,AMC Theaters,entertainment game movie,18.79
Bills & Utilities,Water Service,bill monthly utility,882.49
Healthcare,Walgreens,prescription health medical #2939,364.35
Transportation,Uber,taxi transportation fuel #4017,30.8
Bills & Utilities,Water Service,monthly bill,659.71
Healthcare,CVS,medical prescription,154.43
Transportation,BP,fuel ride #6232,15.66
Transportation,Uber,transportation taxi transit #8528,7.74
Entertainment,Xbox,music game #4276,17.34
Healthcare,Walgreens,doctor,320.75
Entertainment,AMC Theaters,movie entertainment music,19.8
Entertainment,Netflix,entertainment #4079,17.38
Transportation,Shell,transportation gas,27.93
Groceries,Walmart,produce dairy food,39.0
Healthcare,Quest Diagnostics,doctor health prescription,116.19
Transportation,Shell,transit transportation taxi,61.0
Transportation,Metro,transportation ride taxi,16.65
Food & Dining,Subway,restaurant meal lunch,434.81
Groceries,Trader Joes,groceries bread,87.34
Others,Unknown Vendor,other service general,243.58
Food & Dining,Pizza Hut,dinner takeout meal,478.48
Shopping,H&M,shoes accessories purchase,215.75
Groceries,Safeway,groceries produce,29.27
Healthcare,CVS,medicine medical health,468.53
Transportation,BP,ride transportation transit,52.54
Transportation,Uber,transit taxi fuel,5.28
Groceries,Safeway,food,96.09
Healthcare,Local Clinic,doctor,280.06
Transportation,Lyft,fuel gas transit #9340,5.12
Food & Dining,McDonalds,takeout delivery,566.58
Bills & Utilities,AT&T,bill utility,600.27
Entertainment,Xbox,music,34.74
Healthcare,CVS,prescription medicine #4099,462.54
Healthcare,Walgreens,health,293.08
Healthcare,CVS,health,367.83
Food & Dining,McDonalds,restaurant takeout lunch,970.27
Entertainment,AMC Theaters,music,20.64
Bills & Utilities,Electric Company,service,359.36
Transportation,Uber,fuel ride,79.36
Shopping,Best Buy,clothes purchase #7210,146.02
Food & Dining,Local Restaurant,meal takeout,748.81
Food & Dining,McDonalds,lunch #3958,474.24
Healthcare,Quest Diagnostics,health medicine medical #9298,76.4
Others,Miscellaneous,general other,529.5
Transportation,Uber,fuel transportation taxi,59.75
Healthcare,Local Clinic,doctor medicine prescription,256.42
Entertainment,Xbox,movie #2673,39.19
Bills & Utilities,AT&T,service bill monthly #9663,934.32
Shopping,Nike,clothes purchase electronics #7084,279.04
Bills & Utilities,Water Service,utility bill payment,441.82
Entertainment,AMC Theaters,music streaming,21.24
Transportation,Shell,taxi transportation gas,78.64
Healthcare,Quest Diagnostics,prescription #9672,143.28
Bills & Utilities,Electric Company,utility #3415,89.4
Groceries,Kroger,produce,49.83
Others,Miscellaneous,service,601.95
Others,Various Services,general other #5737,804.94
Bills & Utilities,AT&T,payment bill utility,636.48
Entertainment,Spotify,movie game music,11.89
Transportation,Lyft,transportation,43.47
Food & Dining,Subway,dinner,219.24
Food & Dining,McDonalds,takeout dinner,284.73
Transportation,Shell,transit #5653,27.37
Others,Various Services,general,127.24
Shopping,Nike,electronics accessories,289.6
Shopping,Best Buy,accessories electronics shoes,234.01
Others,Various Services,general other,855.76
Others,Various Services,payment,73.52
Entertainment,AMC Theaters,streaming #5977,37.35
Groceries,Trader Joes,dairy produce #3269,187.86
Food & Dining,Pizza Hut,dinner restaurant meal,137.06
Others,Unknown Vendor,general service payment,344.17
Transportation,Lyft,transportation,71.45
Groceries,Walmart,bread dairy #7958,167.81
Transportation,Shell,gas,66.59
Food & Dining,Pizza Hut,delivery lunch meal,832.55
Healthcare,CVS,doctor,53.06
Bills & Utilities,Verizon,bill utility,713.82
Food & Dining,Pizza Hut,dinner,800.85
Shopping,Target,accessories,142.09
Transportation,Uber,transportation gas #7140,56.35
Shopping,Target,accessories purchase electronics #6268,26.88
Healthcare,Quest Diagnostics,medicine health doctor #4471,131.54
Food & Dining,Local Restaurant,restaurant #1789,102.01
Food & Dining,McDonalds,takeout,550.44
Others,Various Services,misc general payment,222.56
Entertainment,Steam,entertainment #9498,46.65
Others,Various Services,other misc service,467.87
Entertainment,Netflix,game music,27.32
Transportation,BP,fuel gas transportation,38.55
Groceries,Safeway,food #1238,124.0
Bills & Utilities,AT&T,monthly bill payment,436.43
Others,Unknown Vendor,misc,37.53
Entertainment,Steam,game music streaming #5490,23.48
Shopping,Best Buy,shoes clothes purchase,178.06
Transportation,Lyft,fuel transit #9772,47.12
Groceries,Trader Joes,meat #7093,124.44
Bills & Utilities,AT&T,bill,270.29
Healthcare,Quest Diagnostics,prescription medical #4860,290.46
Entertainment,Spotify,movie entertainment streaming,20.95
Healthcare,Walgreens,prescription medicine medical,150.82
Healthcare,Local Clinic,doctor,461.8
